Parameter,Value,Mean r,Std r
alpha,0.100,0.289,0.097
alpha,0.200,0.288,0.097
alpha,0.300,0.287,0.097
alpha,0.400,0.286,0.097
alpha,0.500,0.285,0.097
cons_beta,0.000,0.287,0.097
cons_beta,0.100,0.289,0.099
cons_beta,0.200,0.289,0.100
cons_beta,0.300,0.288,0.101
lambda_cons,0.000,0.244,0.074
lambda_cons,1.000,0.280,0.091
lambda_cons,2.000,0.287,0.097
lambda_cons,4.000,0.285,0.102
lambda_cons,6.000,0.280,0.103
lambda_occ,0.000,0.289,0.111
lambda_occ,1.000,0.300,0.107
lambda_occ,2.000,0.296,0.102
lambda_occ,4.000,0.287,0.097
lambda_occ,6.000,0.282,0.095
lambda_occ,8.000,0.278,0.093
uniq_window,3.000,0.287,0.097
uniq_window,5.000,0.287,0.097
uniq_window,7.000,0.287,0.097
uniq_window,10.000,0.287,0.097
uniq_window,15.000,0.287,0.097
